"year","date","mbbs_county","route","route_num","tax_order","count","county_factor","time"
2014,2014-06-01,"orange",4,3,33465,0,NA,15
2014,2014-06-07,"durham",22,2,33465,0,NA,15
2014,2014-06-08,"chatham",53,13,33465,6,40,15
2014,2014-06-08,"durham",25,5,33465,1,20,15
2014,2014-06-08,"orange",7,6,33465,0,NA,15
2014,2014-06-08,"orange",13,12,33465,0,NA,15
2014,2014-06-12,"durham",23,3,33465,0,NA,15
2014,2014-06-15,"chatham",42,2,33465,0,NA,15
2014,2014-06-15,"chatham",43,3,33465,6,40,15
2014,2014-06-15,"orange",5,4,33465,0,NA,15
2014,2014-06-21,"chatham",45,5,33465,19,40,15
2014,2014-06-22,"chatham",49,9,33465,1,40,15
2014,2014-06-22,"orange",2,1,33465,4,1,15
2014,2014-06-29,"orange",6,5,33465,8,1,15
2014,2014-07-13,"chatham",47,7,33465,5,40,15
2015,2015-05-17,"chatham",41,1,33465,0,NA,16
2015,2015-05-17,"chatham",42,2,33465,0,NA,16
2015,2015-05-17,"chatham",43,3,33465,4,40,16
2015,2015-05-17,"durham",26,6,33465,0,NA,16
2015,2015-05-24,"chatham",48,8,33465,0,NA,16
2015,2015-05-24,"durham",21,1,33465,2,20,16
2015,2015-05-24,"durham",25,5,33465,1,20,16
2015,2015-05-24,"orange",2,1,33465,7,1,16
2015,2015-05-24,"orange",9,8,33465,1,1,16
2015,2015-05-24,"orange",10,9,33465,0,NA,16
2015,2015-05-25,"chatham",44,4,33465,1,40,16
2015,2015-05-31,"orange",3,2,33465,1,1,16
2015,2015-05-31,"orange",5,4,33465,1,1,16
2015,2015-05-31,"orange",6,5,33465,10,1,16
2015,2015-05-31,"orange",8,7,33465,12,1,16
2015,2015-06-01,"durham",22,2,33465,0,NA,16
2015,2015-06-07,"orange",4,3,33465,3,1,16
2015,2015-06-07,"orange",7,6,33465,2,1,16
2015,2015-06-13,"durham",23,3,33465,0,NA,16
2015,2015-06-14,"chatham",53,13,33465,6,40,16
2015,2015-06-14,"chatham",54,14,33465,3,40,16
2015,2015-06-14,"durham",28,8,33465,3,20,16
2015,2015-06-16,"chatham",45,5,33465,13,40,16
2015,2015-06-24,"durham",27,7,33465,1,20,16
2015,2015-06-27,"chatham",47,7,33465,4,40,16
